Timestamp,TotalInputTokens,TotalOutputTokens,ArrivalRate,Hour,Minute,ActiveSeconds,Energy_Joules,Energy_kWh
2024-01-01 00:00:00,1559,248,2,0,0,7.759,5327.700000000001,0.001479916666666667
2024-01-01 00:01:00,417,276,1,0,1,7.317,5195.1,0.0014430833333333333
2024-01-01 00:02:00,0,0,0,0,2,0.0,3000.0,0.0008333333333333334
2024-01-01 00:03:00,2131,1155,3,0,3,31.006,12301.800000000001,0.003417166666666667
2024-01-01 00:04:00,91,2159,2,0,4,54.066,19219.800000000003,0.005338833333333334
2024-01-01 00:05:00,0,0,0,0,5,0.0,3000.0,0.0008333333333333334
2024-01-01 00:06:00,1528,414,1,0,6,11.878000000000002,6563.4000000000015,0.0018231666666666672
2024-01-01 00:07:00,0,0,0,0,7,0.0,3000.0,0.0008333333333333334
2024-01-01 00:08:00,89,370,1,0,8,9.339,5801.700000000001,0.0016115833333333336
2024-01-01 00:09:00,549,362,1,0,9,9.599,5879.7,0.00163325
2024-01-01 00:10:00,172,69,1,0,10,1.897,3569.1000000000004,0.0009914166666666667
2024-01-01 00:11:00,969,206,1,0,11,6.119000000000001,4835.700000000001,0.0013432500000000003
2024-01-01 00:12:00,1671,638,2,0,12,17.621000000000002,8286.3,0.00230175
2024-01-01 00:13:00,253,239,1,0,13,6.228000000000001,4868.4,0.0013523333333333332
2024-01-01 00:14:00,0,0,0,0,14,0.0,3000.0,0.0008333333333333334
2024-01-01 00:15:00,0,0,0,0,15,0.0,3000.0,0.0008333333333333334
2024-01-01 00:16:00,532,551,2,0,16,14.307,7292.1,0.0020255833333333332
2024-01-01 00:17:00,1120,529,2,0,17,14.345000000000002,7303.500000000001,0.00202875
2024-01-01 00:18:00,1305,477,1,0,18,13.23,6969.0,0.0019358333333333332
2024-01-01 00:19:00,0,0,0,0,19,0.0,3000.0,0.0008333333333333334
2024-01-01 00:20:00,0,0,0,0,20,0.0,3000.0,0.0008333333333333334
2024-01-01 00:21:00,17,382,1,0,21,9.567,5870.1,0.0016305833333333335
2024-01-01 00:22:00,0,0,0,0,22,0.0,3000.0,0.0008333333333333334
2024-01-01 00:23:00,0,0,0,0,23,0.0,3000.0,0.0008333333333333334
2024-01-01 00:24:00,601,557,1,0,24,14.526,7357.800000000001,0.0020438333333333337
2024-01-01 00:25:00,0,0,0,0,25,0.0,3000.0,0.0008333333333333334
2024-01-01 00:26:00,1327,239,1,0,26,7.3020000000000005,5190.6,0.0014418333333333334
2024-01-01 00:27:00,0,0,0,0,27,0.0,3000.0,0.0008333333333333334
2024-01-01 00:28:00,0,0,0,0,28,0.0,3000.0,0.0008333333333333334
2024-01-01 00:29:00,1437,181,1,0,29,5.962000000000001,4788.6,0.0013301666666666668
2024-01-01 00:30:00,0,0,0,0,30,0.0,3000.0,0.0008333333333333334
2024-01-01 00:31:00,0,0,0,0,31,0.0,3000.0,0.0008333333333333334
2024-01-01 00:32:00,0,0,0,0,32,0.0,3000.0,0.0008333333333333334
2024-01-01 00:33:00,0,0,0,0,33,0.0,3000.0,0.0008333333333333334
2024-01-01 00:34:00,1336,245,1,0,34,7.461,5238.3,0.0014550833333333334
2024-01-01 00:35:00,0,0,0,0,35,0.0,3000.0,0.0008333333333333334
2024-01-01 00:36:00,19,440,1,0,36,11.019,6305.700000000001,0.0017515833333333335
2024-01-01 00:37:00,92,95,1,0,37,2.467,3740.1000000000004,0.0010389166666666667
2024-01-01 00:38:00,507,448,1,0,38,11.707,6512.1,0.0018089166666666668
2024-01-01 00:39:00,0,0,0,0,39,0.0,3000.0,0.0008333333333333334
2024-01-01 00:40:00,0,0,0,0,40,0.0,3000.0,0.0008333333333333334
2024-01-01 00:41:00,0,0,0,0,41,0.0,3000.0,0.0008333333333333334
2024-01-01 00:42:00,938,263,1,0,42,7.513,5253.9,0.0014594166666666666
2024-01-01 00:43:00,3384,986,2,0,43,28.034000000000002,11410.2,0.0031695
2024-01-01 00:44:00,991,462,1,0,44,12.541,6762.300000000001,0.001878416666666667
2024-01-01 00:45:00,0,0,0,0,45,0.0,3000.0,0.0008333333333333334
2024-01-01 00:46:00,0,0,0,0,46,0.0,3000.0,0.0008333333333333334
2024-01-01 00:47:00,1109,329,1,0,47,9.334,5800.2,0.0016111666666666666
2024-01-01 00:48:00,0,0,0,0,48,0.0,3000.0,0.0008333333333333334
2024-01-01 00:49:00,0,0,0,0,49,0.0,3000.0,0.0008333333333333334
2024-01-01 00:50:00,1476,443,1,0,50,12.551000000000002,6765.3,0.00187925
2024-01-01 00:51:00,14,11,1,0,51,0.28900000000000003,3086.7,0.0008574166666666666
2024-01-01 00:52:00,0,0,0,0,52,0.0,3000.0,0.0008333333333333334
2024-01-01 00:53:00,1741,428,1,0,53,12.441,6732.3,0.0018700833333333334
2024-01-01 00:54:00,0,0,0,0,54,0.0,3000.0,0.0008333333333333334
2024-01-01 00:55:00,0,0,0,0,55,0.0,3000.0,0.0008333333333333334
2024-01-01 00:56:00,0,0,0,0,56,0.0,3000.0,0.0008333333333333334
2024-01-01 00:57:00,0,0,0,0,57,0.0,3000.0,0.0008333333333333334
2024-01-01 00:58:00,0,0,0,0,58,0.0,3000.0,0.0008333333333333334
2024-01-01 00:59:00,0,0,0,0,59,0.0,3000.0,0.0008333333333333334
2024-01-01 01:00:00,0,0,0,1,0,0.0,3000.0,0.0008333333333333334
2024-01-01 01:01:00,0,0,0,1,1,0.0,3000.0,0.0008333333333333334
2024-01-01 01:02:00,0,0,0,1,2,0.0,3000.0,0.0008333333333333334
2024-01-01 01:03:00,0,0,0,1,3,0.0,3000.0,0.0008333333333333334
2024-01-01 01:04:00,0,0,0,1,4,0.0,3000.0,0.0008333333333333334
2024-01-01 01:05:00,0,0,0,1,5,0.0,3000.0,0.0008333333333333334
2024-01-01 01:06:00,0,0,0,1,6,0.0,3000.0,0.0008333333333333334
2024-01-01 01:07:00,0,0,0,1,7,0.0,3000.0,0.0008333333333333334
2024-01-01 01:08:00,0,0,0,1,8,0.0,3000.0,0.0008333333333333334
2024-01-01 01:09:00,0,0,0,1,9,0.0,3000.0,0.0008333333333333334
2024-01-01 01:10:00,0,0,0,1,10,0.0,3000.0,0.0008333333333333334
2024-01-01 01:11:00,0,0,0,1,11,0.0,3000.0,0.0008333333333333334
2024-01-01 01:12:00,0,0,0,1,12,0.0,3000.0,0.0008333333333333334
2024-01-01 01:13:00,0,0,0,1,13,0.0,3000.0,0.0008333333333333334
2024-01-01 01:14:00,0,0,0,1,14,0.0,3000.0,0.0008333333333333334
2024-01-01 01:15:00,0,0,0,1,15,0.0,3000.0,0.0008333333333333334
2024-01-01 01:16:00,1306,267,1,1,16,7.981000000000001,5394.3,0.0014984166666666668
2024-01-01 01:17:00,0,0,0,1,17,0.0,3000.0,0.0008333333333333334
2024-01-01 01:18:00,0,0,0,1,18,0.0,3000.0,0.0008333333333333334
